numBoids;avgFramerate;avgExecutionTime(ms)
500;639,2745;5,8208
1500;270,4118;4,2526
2500;142,5098;7,7149
5000;36,2745;29,1912
7500;11,5686;93,2450
10000;5,9216;163,9302
