numBoids;avgFramerate;avgExecutionTime(ms)
500;845,7843;2,7136
1500;424,3725;2,4084
2500;214,9804;4,7686
5000;75,7451;13,1985
7500;37,1961;26,6002
10000;21,3137;45,9686
