numBoids;avgFramerate;avgExecutionTime(ms)
500;210,9020;4,8186
1500;24,9216;39,4177
2500;8,9216;103,9891
5000;2,0000;413,8501
7500;0,9804;938,5229
10000;0,0000;1633,7706
